Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,clean_comments,language
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Jethalal my best😘😘😘😘😻😻❤❤❤,UgxldsPV8O5sil1kjpN4AaABAg,0,12,Jethalal my best,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,If old daya is gone so where is new daya,Ugxn06z_UExGG-DvEt54AaABAg,0,8,If old daya is gone so where is new daya,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Is it only me or anyone else who think new Tapu and new sonu actually don't act well...?,UgyGhwQbFECyvHYkngB4AaABAg,2,78,Is it only me or anyone else who think new Tapu and new sonu actually don't act well...?,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,"inflation ke sath sabhki income bhi to badhti hai
people only see inflation 
they dont see their income rise",UgwAlg9txqTnC2rx3294AaABAg,0,18,"inflation ke sath sabhki income bhi to badhti hai
people only see inflation 
they dont see their income rise",en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Where is jethalal wife ??????,Ugz_v8nuBqxv8q8HBHR4AaABAg,0,4,Where is jethalal wife ??????,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,THE     MOST    EXPENSIVE    IS     IN      2050           !!,UgxCZyFfsiPoI13OQxB4AaABAg,1,34,THE     MOST    EXPENSIVE    IS     IN      2050           !!,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,"City wale log sirf farmar wale prdruct (milk ,subji)tabi paise paise karte other products per zuk kar paise dete he",UgwiZNvvhP7CRwVF0Qx4AaABAg,2,111,"City wale log sirf farmar wale prdruct (milk ,subji)tabi paise paise karte other products per zuk kar paise dete he",en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,New episode kyu uplode nhi ho rhe YouTube pa🙄😑😒I am waiting,Ugx_lV7dcETHV1sMWRd4AaABAg,0,8,New episode kyu uplode nhi ho rhe YouTube paI am waiting,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,"bohuti gatia or bakowas episode,,",UgyO7nWvR_RuIiZlwwd4AaABAg,2,8,"bohuti gatia or bakowas episode,,",en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,bichara abdul only jethalal and sodhi not angry in abdul,UgwYDSD1jvnqGkXGTZd4AaABAg,0,1,bichara abdul only jethalal and sodhi not angry in abdul,en
